2026-05-02T01:00:05.037+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T01:00:05.041+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-05-02 01:00:05','在线用户定时更新，执行成功') 
2026-05-02T01:13:42.820+08:00 [DEBU] {08d9eada5e80ab1874b1770190cf01f7} [  3 ms] [default] [gfast_v32] [rows:32 ] SHOW TABLES
2026-05-02T01:13:42.822+08:00 [DEBU] {08d9eada5e80ab1874b1770190cf01f7} [  2 ms] [default] [gfast_v32] [rows:14 ] SHOW FULL COLUMNS FROM `sys_job`
2026-05-02T01:13:42.823+08:00 [DEBU] {08d9eada5e80ab1874b1770190cf01f7} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT `job_id`,`job_name`,`job_params`,`job_group`,`invoke_target`,`cron_expression`,`misfire_policy`,`concurrent`,`status`,`created_by`,`updated_by`,`remark`,`created_at`,`updated_at` FROM `sys_job` WHERE `status`=0
2026-05-02T01:13:42.824+08:00 [DEBU] {08d9eada5e80ab1874b1770190cf01f7} [  0 ms] [default] [gfast_v32] [rows:0  ] UPDATE `sys_job` SET `status`=0 WHERE `job_id`=8
2026-05-02T01:14:08.045+08:00 [DEBU] {2b1154ba6480ab1878b1770192846a71} [  6 ms] [default] [gfast_v32] [rows:22 ] SHOW FULL COLUMNS FROM `sys_user`
2026-05-02T01:14:08.048+08:00 [DEBU] {2b1154ba6480ab1878b1770192846a71} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`user_name`,`mobile`,`user_nickname`,`user_password`,`user_salt`,`user_status`,`is_admin`,`avatar`,`dept_id` FROM `sys_user` WHERE (`user_name`='demo') AND `deleted_at` IS NULL LIMIT 1
2026-05-02T01:14:08.052+08:00 [DEBU] {2b1154ba6480ab1878b1770192846a71} [  4 ms] [default] [gfast_v32] [rows:1  ] UPDATE `sys_user` SET `last_login_ip`='20.0.0.1',`last_login_time`='2026-05-02 01:14:08' WHERE `id`=31
2026-05-02T01:14:08.057+08:00 [DEBU] {a1af49bb6480ab187bb177015d18d881} [  2 ms] [default] [gfast_v32] [rows:7  ] SHOW FULL COLUMNS FROM `casbin_rule`
2026-05-02T01:14:08.061+08:00 [DEBU] {f65975bb6480ab187cb177013ead3811} [  3 ms] [default] [gfast_v32] [rows:98 ] SELECT `ptype`,`v0`,`v1`,`v2`,`v3`,`v4`,`v5` FROM `casbin_rule`
2026-05-02T01:14:08.066+08:00 [DEBU] {e14addbb6480ab187eb177017ef9f1e5} [  1 ms] [default] [gfast_v32] [rows:8  ] SHOW FULL COLUMNS FROM `sys_user_online`
2026-05-02T01:14:08.067+08:00 [DEBU] {e14addbb6480ab187eb177017ef9f1e5} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id` FROM `sys_user_online` WHERE `token`='7ZUSfVIf2HyYjcv86SKPPs29v003ECPEScsdYsYYqO34NPWToda7vzRxbAEp7oUusSMhS6u0jOJODLrtjRtWrC0DoaYQRUdlPGPNvnUtYHX0ko+9fuPd4kb8mnyf6ljtOiD4nP/RMDiO+lGDubNiBw==' LIMIT 1
2026-05-02T01:14:08.071+08:00 [DEBU] {e14addbb6480ab187eb177017ef9f1e5} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_user_online`(`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os`) VALUES('8c992b4adc19c4e5a7ab3a9f6b9199db','7ZUSfVIf2HyYjcv86SKPPs29v003ECPEScsdYsYYqO34NPWToda7vzRxbAEp7oUusSMhS6u0jOJODLrtjRtWrC0DoaYQRUdlPGPNvnUtYHX0ko+9fuPd4kb8mnyf6ljtOiD4nP/RMDiO+lGDubNiBw==','2026-05-02 01:14:08','demo','20.0.0.1','Chrome','Windows 10') 
2026-05-02T01:14:08.115+08:00 [DEBU] {845f21bb6480ab1879b17701ea6b473d} [  3 ms] [default] [gfast_v32] [rows:10 ] SHOW FULL COLUMNS FROM `sys_login_log`
2026-05-02T01:14:08.120+08:00 [DEBU] {845f21bb6480ab1879b17701ea6b473d} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_login_log`(`login_name`,`ipaddr`,`login_location`,`browser`,`os`,`status`,`msg`,`login_time`,`module`) VALUES('demo','20.0.0.1','','Chrome','Windows 10',1,'登录成功','2026-05-02 01:14:08','系统后台') 
2026-05-02T01:14:12.815+08:00 [DEBU] {08d9eada5e80ab1874b1770190cf01f7} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT `job_id`,`job_name`,`job_params`,`job_group`,`invoke_target`,`cron_expression`,`misfire_policy`,`concurrent`,`status`,`created_by`,`updated_by`,`remark`,`created_at`,`updated_at` FROM `sys_job` WHERE `status`=0
2026-05-02T01:20:05.807+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:20:05.808+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T01:20:05.810+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:20:05.811+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
2026-05-02T01:20:05.812+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:4  ] SHOW FULL COLUMNS FROM `sys_job_log`
2026-05-02T01:20:05.820+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  8 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-05-02 01:20:05','在线用户定时更新，执行成功') 
2026-05-02T01:30:05.807+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:30:05.808+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T01:30:05.810+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:30:05.811+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
2026-05-02T01:30:05.818+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-05-02 01:30:05','在线用户定时更新，执行成功') 
2026-05-02T01:40:05.008+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:40:05.009+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T01:40:05.011+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:40:05.012+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
2026-05-02T01:40:05.015+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-05-02 01:40:05','在线用户定时更新，执行成功') 
2026-05-02T01:50:05.108+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:50:05.109+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T01:50:05.110+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T01:50:05.111+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
2026-05-02T01:50:05.118+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-05-02 01:50:05','在线用户定时更新，执行成功') 
2026-05-02T02:00:05.114+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T02:00:05.115+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T02:00:05.117+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T02:00:05.118+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
2026-05-02T02:00:05.122+08:00 [DEBU] {945c67db5e80ab1875b17701f587ddb5} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-05-02 02:00:05','在线用户定时更新，执行成功') 
